experiment_id,model,gpu_memory_utilization,max_num_seqs,max_model_len,input_len,output_len,num_prompts,request_rate,seed
exact-online-1p5b-u50-r8-s0,Qwen/Qwen2.5-1.5B-Instruct,0.50,256,1536,512,1024,64,8,0
exact-online-1p5b-u50-r8-s1,Qwen/Qwen2.5-1.5B-Instruct,0.50,256,1536,512,1024,64,8,1
exact-online-1p5b-u50-r8-s2,Qwen/Qwen2.5-1.5B-Instruct,0.50,256,1536,512,1024,64,8,2
exact-online-1p5b-u65-r8-s0,Qwen/Qwen2.5-1.5B-Instruct,0.65,256,1536,512,1024,64,8,0
exact-online-1p5b-u65-r8-s1,Qwen/Qwen2.5-1.5B-Instruct,0.65,256,1536,512,1024,64,8,1
exact-online-1p5b-u65-r8-s2,Qwen/Qwen2.5-1.5B-Instruct,0.65,256,1536,512,1024,64,8,2
exact-online-1p5b-u80-r8-s0,Qwen/Qwen2.5-1.5B-Instruct,0.80,256,1536,512,1024,64,8,0
exact-online-1p5b-u80-r8-s1,Qwen/Qwen2.5-1.5B-Instruct,0.80,256,1536,512,1024,64,8,1
exact-online-1p5b-u80-r8-s2,Qwen/Qwen2.5-1.5B-Instruct,0.80,256,1536,512,1024,64,8,2
exact-online-7b-u50-r2-s0,Qwen/Qwen2.5-7B-Instruct,0.50,256,1536,512,1024,64,2,0
exact-online-7b-u50-r2-s1,Qwen/Qwen2.5-7B-Instruct,0.50,256,1536,512,1024,64,2,1
exact-online-7b-u50-r2-s2,Qwen/Qwen2.5-7B-Instruct,0.50,256,1536,512,1024,64,2,2
exact-online-7b-u65-r2-s0,Qwen/Qwen2.5-7B-Instruct,0.65,256,1536,512,1024,64,2,0
exact-online-7b-u65-r2-s1,Qwen/Qwen2.5-7B-Instruct,0.65,256,1536,512,1024,64,2,1
exact-online-7b-u65-r2-s2,Qwen/Qwen2.5-7B-Instruct,0.65,256,1536,512,1024,64,2,2
exact-online-7b-u80-r2-s0,Qwen/Qwen2.5-7B-Instruct,0.80,256,1536,512,1024,64,2,0
exact-online-7b-u80-r2-s1,Qwen/Qwen2.5-7B-Instruct,0.80,256,1536,512,1024,64,2,1
exact-online-7b-u80-r2-s2,Qwen/Qwen2.5-7B-Instruct,0.80,256,1536,512,1024,64,2,2
