experiment_id,model,gpu_memory_utilization,max_num_seqs,max_model_len,input_len,output_len,num_prompts,seed
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u40-s61,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u40-s62,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u40-s63,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u50-s61,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u50-s62,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u50-s63,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u60-s61,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u60-s62,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u60-s63,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u70-s61,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u70-s62,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_1p5b-gsm8k_long-u70-s63,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_3b-gsm8k_long-u30-s61,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_3b-gsm8k_long-u30-s62,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_3b-gsm8k_long-u30-s63,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_3b-gsm8k_long-u40-s61,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_3b-gsm8k_long-u40-s62,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_3b-gsm8k_long-u40-s63,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_3b-gsm8k_long-u50-s61,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_3b-gsm8k_long-u50-s62,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_3b-gsm8k_long-u50-s63,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_3b-gsm8k_long-u60-s61,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,61
mr-xfer-offline-qwen25_3b-gsm8k_long-u60-s62,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,62
mr-xfer-offline-qwen25_3b-gsm8k_long-u60-s63,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,1024,2048,64,63
mr-xfer-offline-qwen25_1p5b-math_short-u45-s61,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,61
mr-xfer-offline-qwen25_1p5b-math_short-u45-s62,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,62
mr-xfer-offline-qwen25_1p5b-math_short-u45-s63,Qwen/Qwen2.5-1.5B-Instruct,0.45,128,1024,512,512,64,63
mr-xfer-offline-qwen25_1p5b-math_short-u55-s61,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,61
mr-xfer-offline-qwen25_1p5b-math_short-u55-s62,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,62
mr-xfer-offline-qwen25_1p5b-math_short-u55-s63,Qwen/Qwen2.5-1.5B-Instruct,0.55,128,1024,512,512,64,63
mr-xfer-offline-qwen25_1p5b-math_short-u65-s61,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,61
mr-xfer-offline-qwen25_1p5b-math_short-u65-s62,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,62
mr-xfer-offline-qwen25_1p5b-math_short-u65-s63,Qwen/Qwen2.5-1.5B-Instruct,0.65,128,1024,512,512,64,63
mr-xfer-offline-qwen25_1p5b-math_short-u80-s61,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,61
mr-xfer-offline-qwen25_1p5b-math_short-u80-s62,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,62
mr-xfer-offline-qwen25_1p5b-math_short-u80-s63,Qwen/Qwen2.5-1.5B-Instruct,0.8,128,1024,512,512,64,63
mr-xfer-offline-qwen25_3b-math_short-u35-s61,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,61
mr-xfer-offline-qwen25_3b-math_short-u35-s62,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,62
mr-xfer-offline-qwen25_3b-math_short-u35-s63,Qwen/Qwen2.5-3B-Instruct,0.35,128,1024,512,512,64,63
mr-xfer-offline-qwen25_3b-math_short-u45-s61,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,61
mr-xfer-offline-qwen25_3b-math_short-u45-s62,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,62
mr-xfer-offline-qwen25_3b-math_short-u45-s63,Qwen/Qwen2.5-3B-Instruct,0.45,128,1024,512,512,64,63
mr-xfer-offline-qwen25_3b-math_short-u55-s61,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,61
mr-xfer-offline-qwen25_3b-math_short-u55-s62,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,62
mr-xfer-offline-qwen25_3b-math_short-u55-s63,Qwen/Qwen2.5-3B-Instruct,0.55,128,1024,512,512,64,63
mr-xfer-offline-qwen25_3b-math_short-u65-s61,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,61
mr-xfer-offline-qwen25_3b-math_short-u65-s62,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,62
mr-xfer-offline-qwen25_3b-math_short-u65-s63,Qwen/Qwen2.5-3B-Instruct,0.65,128,1024,512,512,64,63
