experiment_id,model,gpu_memory_utilization,max_num_seqs,max_model_len,input_len,output_len,num_prompts,request_rate,seed
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r1p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,1.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r1p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,1.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r1p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,1.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r3p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,3.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r3p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,3.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r3p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,3.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,8.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,8.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u40-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.4,64,3072,1024,2048,64,8.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r1p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,1.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r1p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,1.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r1p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,1.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r3p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,3.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r3p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,3.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r3p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,3.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r8p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,8.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r8p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,8.0,62
mr-xfer-online-qwen25_1p5b-gsm8k_long-u50-r8p0-s63,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,1024,2048,64,8.0,63
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r1p0-s61,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,1.0,61
mr-xfer-online-qwen25_1p5b-gsm8k_long-u60-r1p0-s62,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,1024,2048,64,1.0,62
