experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,revision_study,pair_id,condition,period,allocator_trace_enabled,allocator_trace_sync,resume_mode,save_freq,test_freq,val_before_train,max_actor_ckpt_to_keep,workload_name,custom_reward_function_path,custom_reward_function_name
rev-temporal-phi4_mini-gsm8k-interpolated-s111-source,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.65,False,False,True,1024,2048,3072,64,2,32,-1,32,111,1,100,temporal,phi4_mini-gsm8k-interpolated-s111,source,1,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-gsm8k-interpolated-s111-long,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.65,False,False,True,1024,2048,3072,64,2,32,-1,32,111,100,100,temporal,phi4_mini-gsm8k-interpolated-s111,long,2,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-gsm8k-interpolated-s112-source,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.65,False,False,True,1024,2048,3072,64,2,32,-1,32,112,1,100,temporal,phi4_mini-gsm8k-interpolated-s112,source,1,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-gsm8k-interpolated-s112-long,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.65,False,False,True,1024,2048,3072,64,2,32,-1,32,112,100,100,temporal,phi4_mini-gsm8k-interpolated-s112,long,2,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-gsm8k-interpolated-s113-source,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.65,False,False,True,1024,2048,3072,64,2,32,-1,32,113,1,100,temporal,phi4_mini-gsm8k-interpolated-s113,source,1,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-gsm8k-interpolated-s113-long,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.65,False,False,True,1024,2048,3072,64,2,32,-1,32,113,100,100,temporal,phi4_mini-gsm8k-interpolated-s113,long,2,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-math-interpolated-s111-source,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.65,False,False,True,512,512,1024,128,2,64,-1,64,111,1,100,temporal,phi4_mini-math-interpolated-s111,source,1,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-math-interpolated-s111-long,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.65,False,False,True,512,512,1024,128,2,64,-1,64,111,100,100,temporal,phi4_mini-math-interpolated-s111,long,2,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-math-interpolated-s112-source,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.65,False,False,True,512,512,1024,128,2,64,-1,64,112,1,100,temporal,phi4_mini-math-interpolated-s112,source,1,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-math-interpolated-s112-long,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.65,False,False,True,512,512,1024,128,2,64,-1,64,112,100,100,temporal,phi4_mini-math-interpolated-s112,long,2,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-math-interpolated-s113-source,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.65,False,False,True,512,512,1024,128,2,64,-1,64,113,1,100,temporal,phi4_mini-math-interpolated-s113,source,1,True,1,disable,25,20,True,1,,,
rev-temporal-phi4_mini-math-interpolated-s113-long,revision_temporal,prospective_revision,interpolated_boundary,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.65,False,False,True,512,512,1024,128,2,64,-1,64,113,100,100,temporal,phi4_mini-math-interpolated-s113,long,2,True,1,disable,25,20,True,1,,,
rev-temporal-granite33_2b-gsm8k-interpolated-s111-source,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.75,False,False,True,1024,2048,3072,64,2,32,-1,32,111,1,100,temporal,granite33_2b-gsm8k-interpolated-s111,source,1,True,1,disable,25,20,True,1,gsm8k_long,,
rev-temporal-granite33_2b-gsm8k-interpolated-s111-long,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.75,False,False,True,1024,2048,3072,64,2,32,-1,32,111,100,100,temporal,granite33_2b-gsm8k-interpolated-s111,long,2,True,1,disable,25,20,True,1,gsm8k_long,,
rev-temporal-granite33_2b-gsm8k-interpolated-s112-source,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.75,False,False,True,1024,2048,3072,64,2,32,-1,32,112,1,100,temporal,granite33_2b-gsm8k-interpolated-s112,source,1,True,1,disable,25,20,True,1,gsm8k_long,,
rev-temporal-granite33_2b-gsm8k-interpolated-s112-long,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.75,False,False,True,1024,2048,3072,64,2,32,-1,32,112,100,100,temporal,granite33_2b-gsm8k-interpolated-s112,long,2,True,1,disable,25,20,True,1,gsm8k_long,,
rev-temporal-granite33_2b-gsm8k-interpolated-s113-source,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.75,False,False,True,1024,2048,3072,64,2,32,-1,32,113,1,100,temporal,granite33_2b-gsm8k-interpolated-s113,source,1,True,1,disable,25,20,True,1,gsm8k_long,,
rev-temporal-granite33_2b-gsm8k-interpolated-s113-long,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.75,False,False,True,1024,2048,3072,64,2,32,-1,32,113,100,100,temporal,granite33_2b-gsm8k-interpolated-s113,long,2,True,1,disable,25,20,True,1,gsm8k_long,,
rev-temporal-granite33_2b-math-interpolated-s111-source,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.75,False,False,True,512,512,1024,128,2,64,-1,64,111,1,100,temporal,granite33_2b-math-interpolated-s111,source,1,True,1,disable,25,20,True,1,math_short,,
rev-temporal-granite33_2b-math-interpolated-s111-long,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.75,False,False,True,512,512,1024,128,2,64,-1,64,111,100,100,temporal,granite33_2b-math-interpolated-s111,long,2,True,1,disable,25,20,True,1,math_short,,
rev-temporal-granite33_2b-math-interpolated-s112-source,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.75,False,False,True,512,512,1024,128,2,64,-1,64,112,1,100,temporal,granite33_2b-math-interpolated-s112,source,1,True,1,disable,25,20,True,1,math_short,,
rev-temporal-granite33_2b-math-interpolated-s112-long,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.75,False,False,True,512,512,1024,128,2,64,-1,64,112,100,100,temporal,granite33_2b-math-interpolated-s112,long,2,True,1,disable,25,20,True,1,math_short,,
rev-temporal-granite33_2b-math-interpolated-s113-source,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.75,False,False,True,512,512,1024,128,2,64,-1,64,113,1,100,temporal,granite33_2b-math-interpolated-s113,source,1,True,1,disable,25,20,True,1,math_short,,
rev-temporal-granite33_2b-math-interpolated-s113-long,revision_temporal,prospective_revision,interpolated_boundary,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.75,False,False,True,512,512,1024,128,2,64,-1,64,113,100,100,temporal,granite33_2b-math-interpolated-s113,long,2,True,1,disable,25,20,True,1,math_short,,
