experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,workload_name,custom_reward_function_path,custom_reward_function_name
strong-factorial-granite33_2b-grpo-code_heavy_tail-base-s94,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,94,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-base-s95,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,95,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-base-s96,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,96,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-actor_only-s94,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,94,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-actor_only-s95,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,95,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-actor_only-s96,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,96,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-reservation_only-s94,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,94,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-reservation_only-s95,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,95,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-reservation_only-s96,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,96,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-joint-s94,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,94,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-joint-s95,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,95,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_heavy_tail-joint-s96,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,96,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-base-s94,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,94,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-base-s95,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,95,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-base-s96,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,96,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-actor_only-s94,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,94,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-actor_only-s95,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,95,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-actor_only-s96,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,96,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-reservation_only-s94,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,94,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-reservation_only-s95,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,95,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-reservation_only-s96,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,96,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-joint-s94,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,94,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-joint-s95,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,95,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-code_standard-joint-s96,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,96,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-factorial-granite33_2b-grpo-gsm8k_long-base-s94,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,128,32,94,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-base-s95,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,128,32,95,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-base-s96,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,128,32,96,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-actor_only-s94,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,128,32,94,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-actor_only-s95,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,128,32,95,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-actor_only-s96,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,128,32,96,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-reservation_only-s94,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,128,32,94,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-reservation_only-s95,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,128,32,95,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-reservation_only-s96,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,128,32,96,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-joint-s94,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,128,32,94,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-joint-s95,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,128,32,95,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-gsm8k_long-joint-s96,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,128,32,96,1,100,gsm8k_long,,
strong-factorial-granite33_2b-grpo-math_short-base-s94,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,94,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-base-s95,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,95,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-base-s96,strengthening_factorial,mechanism_factorial,base,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,96,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-actor_only-s94,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,94,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-actor_only-s95,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,95,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-actor_only-s96,strengthening_factorial,mechanism_factorial,actor_only,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,96,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-reservation_only-s94,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.7,False,False,True,512,512,1024,128,2,64,256,64,94,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-reservation_only-s95,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.7,False,False,True,512,512,1024,128,2,64,256,64,95,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-reservation_only-s96,strengthening_factorial,mechanism_factorial,reservation_only,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.7,False,False,True,512,512,1024,128,2,64,256,64,96,1,100,math_short,,
strong-factorial-granite33_2b-grpo-math_short-joint-s94,strengthening_factorial,mechanism_factorial,joint,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,256,64,94,1,100,math_short,,
