experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,capture_response_lengths
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u40-a2-s91,strengthening_matched_transfer_colocated,confirmatory,u40-a2,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,2,8,8,0.4,False,False,True,1024,2048,3072,64,2,32,32,32,91,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u40-a2-s92,strengthening_matched_transfer_colocated,confirmatory,u40-a2,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,2,8,8,0.4,False,False,True,1024,2048,3072,64,2,32,32,32,92,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u40-a2-s93,strengthening_matched_transfer_colocated,confirmatory,u40-a2,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,2,8,8,0.4,False,False,True,1024,2048,3072,64,2,32,32,32,93,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s91,strengthening_matched_transfer_colocated,confirmatory,u50-a4,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,8,8,0.5,False,False,True,1024,2048,3072,64,2,32,32,32,91,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s92,strengthening_matched_transfer_colocated,confirmatory,u50-a4,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,8,8,0.5,False,False,True,1024,2048,3072,64,2,32,32,32,92,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s93,strengthening_matched_transfer_colocated,confirmatory,u50-a4,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,8,8,0.5,False,False,True,1024,2048,3072,64,2,32,32,32,93,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s91,strengthening_matched_transfer_colocated,confirmatory,u60-a8,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,8,8,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,91,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s92,strengthening_matched_transfer_colocated,confirmatory,u60-a8,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,8,8,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,92,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s93,strengthening_matched_transfer_colocated,confirmatory,u60-a8,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,8,8,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,93,1,100,True
strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s91,strengthening_matched_transfer_colocated,confirmatory,u70-a16,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,91,1,100,True
