experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,pair_id,risk_tier,condition,source_config_id
v2sl-qwen25_1p5b-grpo-gsm8k-near_boundary-s41-release,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100,qwen25_1p5b-grpo-gsm8k-near_boundary-s41,near_boundary,release,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2sl-qwen25_1p5b-grpo-gsm8k-near_boundary-s41-resident,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,False,1024,2048,3072,64,2,32,32,32,41,1,100,qwen25_1p5b-grpo-gsm8k-near_boundary-s41,near_boundary,resident,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2sl-qwen25_1p5b-grpo-gsm8k-near_boundary-s42-release,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100,qwen25_1p5b-grpo-gsm8k-near_boundary-s42,near_boundary,release,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2sl-qwen25_1p5b-grpo-gsm8k-near_boundary-s42-resident,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,False,1024,2048,3072,64,2,32,32,32,42,1,100,qwen25_1p5b-grpo-gsm8k-near_boundary-s42,near_boundary,resident,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2sl-qwen25_1p5b-grpo-gsm8k-near_boundary-s43-release,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100,qwen25_1p5b-grpo-gsm8k-near_boundary-s43,near_boundary,release,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2sl-qwen25_1p5b-grpo-gsm8k-near_boundary-s43-resident,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,False,1024,2048,3072,64,2,32,32,32,43,1,100,qwen25_1p5b-grpo-gsm8k-near_boundary-s43,near_boundary,resident,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2sl-qwen25_1p5b-grpo-math-near_boundary-s41-release,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,41,1,100,qwen25_1p5b-grpo-math-near_boundary-s41,near_boundary,release,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
v2sl-qwen25_1p5b-grpo-math-near_boundary-s41-resident,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,False,512,512,1024,128,2,64,64,64,41,1,100,qwen25_1p5b-grpo-math-near_boundary-s41,near_boundary,resident,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
v2sl-qwen25_1p5b-grpo-math-near_boundary-s42-release,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,42,1,100,qwen25_1p5b-grpo-math-near_boundary-s42,near_boundary,release,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
v2sl-qwen25_1p5b-grpo-math-near_boundary-s42-resident,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,False,512,512,1024,128,2,64,64,64,42,1,100,qwen25_1p5b-grpo-math-near_boundary-s42,near_boundary,resident,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
v2sl-qwen25_1p5b-grpo-math-near_boundary-s43-release,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,43,1,100,qwen25_1p5b-grpo-math-near_boundary-s43,near_boundary,release,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
v2sl-qwen25_1p5b-grpo-math-near_boundary-s43-resident,benchmark_v2_sleep_expansion,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,False,512,512,1024,128,2,64,64,64,43,1,100,qwen25_1p5b-grpo-math-near_boundary-s43,near_boundary,resident,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
