experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,telemetry_pair_id,monitor_condition,source_config_id
v2tel-00-qwen25_1p5b-grpo-gsm8k-near_boundary-10ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,53,1,10,v2tel-00-qwen25_1p5b-grpo-gsm8k-near_boundary,high_frequency,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2tel-00-qwen25_1p5b-grpo-gsm8k-near_boundary-100ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,grpo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,53,1,100,v2tel-00-qwen25_1p5b-grpo-gsm8k-near_boundary,control,grpo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt1024|response2048|batch32|1|16|8|8|0.7|False|False|True|1024|2048|3072|2|32|64
v2tel-01-qwen25_1p5b-grpo-math-near_boundary-10ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,53,1,10,v2tel-01-qwen25_1p5b-grpo-math-near_boundary,high_frequency,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
v2tel-01-qwen25_1p5b-grpo-math-near_boundary-100ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,grpo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,53,1,100,v2tel-01-qwen25_1p5b-grpo-math-near_boundary,control,grpo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.7|False|False|True|512|512|1024|2|64|128
v2tel-02-qwen25_1p5b-oracle_sppo-gsm8k-near_boundary-10ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,8,8,0.8,False,False,True,256,512,768,256,2,128,128,128,53,1,10,v2tel-02-qwen25_1p5b-oracle_sppo-gsm8k-near_boundary,high_frequency,oracle_sppo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt256|response512|batch128|1|4|8|8|0.8|False|False|True|256|512|768|2|128|256
v2tel-02-qwen25_1p5b-oracle_sppo-gsm8k-near_boundary-100ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,oracle_sppo,gsm8k,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,8,8,0.8,False,False,True,256,512,768,256,2,128,128,128,53,1,100,v2tel-02-qwen25_1p5b-oracle_sppo-gsm8k-near_boundary,control,oracle_sppo|qwen25_1p5b|gsm8k|2gpu|rollout2|prompt256|response512|batch128|1|4|8|8|0.8|False|False|True|256|512|768|2|128|256
v2tel-03-qwen25_1p5b-oracle_sppo-math-near_boundary-10ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,oracle_sppo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,64,64,53,1,10,v2tel-03-qwen25_1p5b-oracle_sppo-math-near_boundary,high_frequency,oracle_sppo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.8|False|False|True|512|512|1024|2|64|128
v2tel-03-qwen25_1p5b-oracle_sppo-math-near_boundary-100ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_1p5b,oracle_sppo,math,Qwen/Qwen2.5-1.5B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,64,64,53,1,100,v2tel-03-qwen25_1p5b-oracle_sppo-math-near_boundary,control,oracle_sppo|qwen25_1p5b|math|2gpu|rollout2|prompt512|response512|batch64|1|16|8|8|0.8|False|False|True|512|512|1024|2|64|128
v2tel-04-qwen25_3b-grpo-gsm8k-near_boundary-10ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.65,False,False,True,256,1024,1280,256,5,128,128,128,53,1,10,v2tel-04-qwen25_3b-grpo-gsm8k-near_boundary,high_frequency,grpo|qwen25_3b|gsm8k|2gpu|rollout5|prompt256|response1024|batch128|1|16|8|8|0.65|False|False|True|256|1024|1280|5|128|256
v2tel-04-qwen25_3b-grpo-gsm8k-near_boundary-100ms,benchmark_v2_telemetry_calibration,confirmatory,near_boundary,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,8,8,0.65,False,False,True,256,1024,1280,256,5,128,128,128,53,1,100,v2tel-04-qwen25_3b-grpo-gsm8k-near_boundary,control,grpo|qwen25_3b|gsm8k|2gpu|rollout5|prompt256|response1024|batch128|1|16|8|8|0.65|False|False|True|256|1024|1280|5|128|256
