experiment_id,gpu_memory_utilization,max_num_seqs,max_model_len,input_len,output_len,num_prompts,seed
short-u50-c8-s1,0.50,8,1024,512,128,256,1
short-u50-c32-s1,0.50,32,1024,512,128,256,1
short-u50-c128-s1,0.50,128,1024,512,128,256,1
short-u65-c8-s1,0.65,8,1024,512,128,256,1
short-u65-c32-s1,0.65,32,1024,512,128,256,1
short-u65-c128-s1,0.65,128,1024,512,128,256,1
short-u80-c8-s1,0.80,8,1024,512,128,256,1
short-u80-c32-s1,0.80,32,1024,512,128,256,1
short-u80-c128-s1,0.80,128,1024,512,128,256,1
long-u50-c8-s1,0.50,8,3072,2048,512,64,1
long-u50-c32-s1,0.50,32,3072,2048,512,64,1
long-u50-c128-s1,0.50,128,3072,2048,512,64,1
long-u65-c8-s1,0.65,8,3072,2048,512,64,1
long-u65-c32-s1,0.65,32,3072,2048,512,64,1
long-u65-c128-s1,0.65,128,3072,2048,512,64,1
long-u80-c8-s1,0.80,8,3072,2048,512,64,1
long-u80-c32-s1,0.80,32,3072,2048,512,64,1
long-u80-c128-s1,0.80,128,3072,2048,512,64,1
short-u50-c8-s2,0.50,8,1024,512,128,256,2
short-u50-c32-s2,0.50,32,1024,512,128,256,2
short-u50-c128-s2,0.50,128,1024,512,128,256,2
short-u65-c8-s2,0.65,8,1024,512,128,256,2
short-u65-c32-s2,0.65,32,1024,512,128,256,2
short-u65-c128-s2,0.65,128,1024,512,128,256,2
short-u80-c8-s2,0.80,8,1024,512,128,256,2
short-u80-c32-s2,0.80,32,1024,512,128,256,2
short-u80-c128-s2,0.80,128,1024,512,128,256,2
long-u50-c8-s2,0.50,8,3072,2048,512,64,2
long-u50-c32-s2,0.50,32,3072,2048,512,64,2
long-u50-c128-s2,0.50,128,3072,2048,512,64,2
long-u65-c8-s2,0.65,8,3072,2048,512,64,2
long-u65-c32-s2,0.65,32,3072,2048,512,64,2
long-u65-c128-s2,0.65,128,3072,2048,512,64,2
long-u80-c8-s2,0.80,8,3072,2048,512,64,2
long-u80-c32-s2,0.80,32,3072,2048,512,64,2
long-u80-c128-s2,0.80,128,3072,2048,512,64,2
